symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_1h_trend,gate_30m_bbwp_squeeze,gate_15m_thrust,gate_diurnal_rvol,naive_baseline_fired,data_source_flags
ATUL,2026-04-22 14:15:00 IST,BULL,2026-04-22 14:30:00 IST,6709.0,6470.1,7186.8,7186.8,7306.25,7425.7,2026-05-06 15:25:00 IST,7072.13,EXPIRED_POS,1.52,10,100.0,True,False,True,True,True,NONE
BSE,2026-05-08 14:15:00 IST,BULL,2026-05-08 14:30:00 IST,3978.0,3848.02,4237.96,4237.96,4302.95,4367.94,2026-05-11 15:25:00 IST,3848.02,SL_HIT,-1.0,1,80.0,True,False,True,True,True,NONE
SUNPHARMA,2026-06-17 14:15:00 IST,BULL,2026-06-17 14:30:00 IST,1900.0,1853.3,1993.4,1993.4,2016.75,2040.1,2026-06-18 15:25:00 IST,1812.67,SL_HIT,-1.87,1,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-06-19 14:15:00 IST,BULL,2026-06-19 14:30:00 IST,1900.0,1857.95,1984.1,1984.1,2005.12,2026.15,2026-06-22 15:25:00 IST,1840.29,SL_HIT,-1.42,1,90.0,True,True,True,True,True,NONE
BHARATFORG,2026-06-23 14:15:00 IST,BULL,2026-06-23 14:30:00 IST,2177.7,2102.11,2328.88,2328.88,2366.67,2404.47,2026-06-24 15:25:00 IST,2102.11,SL_HIT,-1.0,1,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-06-23 14:15:00 IST,BULL,2026-06-23 14:30:00 IST,1900.0,1856.49,1987.02,1987.02,2008.78,2030.53,2026-06-25 15:25:00 IST,1856.49,SL_HIT,-1.0,2,90.0,True,False,True,True,True,NONE
BHARATFORG,2026-06-25 14:15:00 IST,BULL,2026-06-25 14:30:00 IST,2177.7,2097.15,2338.8,2338.8,2379.07,2419.35,2026-06-29 15:25:00 IST,2097.15,SL_HIT,-1.0,2,100.0,True,False,True,True,True,NONE
SUNPHARMA,2026-06-25 14:15:00 IST,BULL,2026-06-25 14:30:00 IST,1900.0,1856.93,1986.14,1986.14,2007.67,2029.21,2026-06-29 15:25:00 IST,1856.93,SL_HIT,-1.0,2,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-06-29 14:15:00 IST,BULL,2026-06-29 14:30:00 IST,1900.0,1861.51,1976.98,1976.98,1996.22,2015.47,2026-06-30 15:25:00 IST,1861.51,SL_HIT,-1.0,1,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-07-01 14:15:00 IST,BULL,2026-07-01 14:30:00 IST,1900.0,1862.43,1975.14,1975.14,1993.92,2012.71,2026-07-15 15:25:00 IST,1951.47,EXPIRED_POS,1.37,10,90.0,True,False,True,True,True,NONE
SUNPHARMA,2026-07-03 14:15:00 IST,BULL,2026-07-03 14:30:00 IST,1900.0,1861.05,1977.9,1977.9,1997.38,2016.85,2026-07-17 15:25:00 IST,1932.72,EXPIRED_POS,0.84,10,90.0,True,False,True,True,True,NONE
