symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_5m_atr_momentum,gate_vwap_extension,gate_consolidation_coil,gate_volume_ignition,naive_baseline_fired,data_source_flags
EMCURE,2026-03-09 10:15:00 IST,BULL,2026-03-09 10:20:00 IST,1521.1,1375.51,1812.27,1812.28,1885.07,1957.87,2026-03-09 15:20:00 IST,1604.96,HORIZON_REACHED,0.576,20,75.0,True,True,True,True,True,NONE
EMCURE,2026-07-31 10:15:00 IST,BULL,2026-07-31 10:20:00 IST,1960.1,1849.62,2181.07,2181.06,2236.3,2291.54,2026-07-31 15:20:00 IST,1849.62,SL_HIT,-1.0,15,75.0,True,True,True,True,True,NONE
TDPOWERSYS,2026-04-16 10:15:00 IST,BULL,2026-04-16 10:20:00 IST,969.8,867.23,1174.95,1174.94,1226.22,1277.51,2026-04-16 15:20:00 IST,1174.94,T1_HIT,2.0,9,75.0,True,True,True,True,True,NONE
TDPOWERSYS,2026-05-07 10:15:00 IST,BULL,2026-05-07 10:20:00 IST,1244.09,1119.57,1493.12,1493.13,1555.39,1617.65,2026-05-07 15:20:00 IST,1324.16,HORIZON_REACHED,0.643,20,75.0,True,True,True,True,True,NONE
KPIGREEN,2025-12-03 10:15:00 IST,BEAR,2025-12-03 10:20:00 IST,446.28,410.07,518.7,518.7,536.8,554.91,2025-12-03 15:20:00 IST,410.07,SL_HIT,-1.0,3,75.0,True,True,True,True,True,NONE
KPIGREEN,2026-04-17 10:15:00 IST,SIDEWAYS,2026-04-17 10:20:00 IST,448.25,393.07,558.61,558.61,586.2,613.79,2026-04-17 15:20:00 IST,420.6,HORIZON_REACHED,-0.501,20,75.0,True,True,True,True,True,NONE
POONAWALLA,2025-10-17 10:15:00 IST,SIDEWAYS,2025-10-17 10:20:00 IST,1286.28,1247.64,1363.55,1363.56,1382.88,1402.2,2025-10-17 15:20:00 IST,1363.56,T1_HIT,2.0,3,75.0,True,True,True,True,True,NONE
NIVABUPA,2025-12-16 10:15:00 IST,SIDEWAYS,2025-12-16 10:20:00 IST,77.47,73.23,85.96,85.95,88.07,90.19,2025-12-16 15:20:00 IST,78.98,HORIZON_REACHED,0.356,20,75.0,True,True,True,True,True,NONE
NIVABUPA,2026-01-07 10:15:00 IST,SIDEWAYS,2026-01-07 10:20:00 IST,76.34,74.39,80.24,80.24,81.22,82.19,2026-01-07 15:20:00 IST,80.24,T1_HIT,2.0,1,75.0,True,True,True,True,True,NONE
NIVABUPA,2026-04-16 10:15:00 IST,BULL,2026-04-16 10:20:00 IST,78.5,71.54,92.42,92.42,95.9,99.38,2026-04-16 15:20:00 IST,79.83,HORIZON_REACHED,0.191,20,75.0,True,True,True,True,True,NONE
KWIL,2026-06-01 10:15:00 IST,BULL,2026-06-01 10:20:00 IST,28.21,25.92,32.79,32.79,33.94,35.08,2026-06-01 15:20:00 IST,32.79,T1_HIT,2.0,3,75.0,True,True,True,True,True,NONE
IFCI,2026-01-09 10:15:00 IST,BULL,2026-01-09 10:20:00 IST,1447.68,1416.59,1509.88,1509.86,1525.41,1540.95,2026-01-09 15:20:00 IST,1509.86,T1_HIT,2.0,4,75.0,True,True,True,True,True,NONE
PAGEIND,2026-04-02 10:15:00 IST,BEAR,2026-04-02 10:20:00 IST,33812.07,31043.14,39349.95,39349.93,40734.4,42118.86,2026-04-02 15:20:00 IST,37253.85,HORIZON_REACHED,1.243,20,75.0,True,True,True,True,True,NONE
PAGEIND,2026-04-20 10:15:00 IST,SIDEWAYS,2026-04-20 10:20:00 IST,38254.61,35259.52,44244.77,44244.79,45742.34,47239.88,2026-04-20 15:20:00 IST,35259.52,SL_HIT,-1.0,15,75.0,True,True,True,True,True,NONE
TEJASNET,2026-05-15 10:15:00 IST,BULL,2026-05-15 10:20:00 IST,1016.98,977.15,1096.63,1096.64,1116.56,1136.47,2026-05-15 15:20:00 IST,977.15,SL_HIT,-1.0,13,75.0,True,True,True,True,True,NONE
COLPAL,2026-04-17 10:15:00 IST,SIDEWAYS,2026-04-17 10:20:00 IST,2081.46,1850.75,2542.89,2542.88,2658.24,2773.59,2026-04-17 15:20:00 IST,2134.75,HORIZON_REACHED,0.231,20,75.0,True,True,True,True,True,NONE
AUTOIETF.NS,2025-12-01 10:15:00 IST,BULL,2025-12-01 10:20:00 IST,28.82,28.08,30.31,30.3,30.67,31.04,2025-12-01 15:20:00 IST,28.08,SL_HIT,-1.0,6,75.0,True,True,True,True,True,NONE
AUTOIETF.NS,2026-02-26 10:15:00 IST,BULL,2026-02-26 10:20:00 IST,29.59,28.41,31.96,31.95,32.54,33.13,2026-02-26 15:20:00 IST,28.41,SL_HIT,-1.0,2,75.0,True,True,True,True,True,NONE
TATATECH,2025-11-21 10:15:00 IST,BULL,2025-11-21 10:20:00 IST,887.01,861.76,937.49,937.51,950.13,962.76,2025-11-21 15:20:00 IST,886.63,HORIZON_REACHED,-0.015,20,75.0,True,True,True,True,True,NONE
