scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_1h_trend,gate_30m_squeeze,gate_15m_thrust,gate_diurnal_rvol,naive_baseline_fired,data_source_flags
MULTI_TF,NYKAA,296 IST,SIDEWAYS,296 IST,345.0,342.24,349.14,350.52,351.9,353.28,299 IST,342.24,STOP_LOSS,-1.0,3,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,PRICOLLTD,400 IST,SIDEWAYS,400 IST,763.95,757.84,773.12,776.17,779.23,782.28,406 IST,768.65,SESSION_CLOSE,0.769,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,KPRMILL,192 IST,SIDEWAYS,192 IST,1193.9,1184.35,1208.23,1213.0,1217.78,1222.55,198 IST,1184.35,STOP_LOSS,-1.0,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,ENGINERSIN,152 IST,SIDEWAYS,152 IST,279.9,277.66,283.26,284.38,285.5,286.62,156 IST,284.38,TARGET,2.0,4,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,TDPOWERSYS,400 IST,SIDEWAYS,400 IST,744.75,738.79,753.69,756.67,759.64,762.62,401 IST,738.79,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,PARADEEP,200 IST,SIDEWAYS,200 IST,158.2,156.93,160.1,160.73,161.36,162.0,205 IST,156.93,STOP_LOSS,-1.0,5,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,PARADEEP,224 IST,SIDEWAYS,224 IST,158.6,157.33,160.5,161.14,161.77,162.41,225 IST,161.14,TARGET,2.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,PANAMAPET,460 IST,SIDEWAYS,460 IST,484.9,481.02,490.72,492.66,494.6,496.54,461 IST,481.02,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,GMDCLTD,424 IST,SIDEWAYS,424 IST,557.5,553.04,564.19,566.42,568.65,570.88,430 IST,554.65,SESSION_CLOSE,-0.639,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,KRN,200 IST,BULL,200 IST,1623.8,1610.81,1643.29,1649.78,1656.28,1662.77,206 IST,1642.6,SESSION_CLOSE,1.4472,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,POLYCAB,424 IST,SIDEWAYS,424 IST,8400.0,8332.8,8500.8,8534.4,8568.0,8601.6,425 IST,8332.8,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,TIINDIA,376 IST,SIDEWAYS,376 IST,2608.3,2587.43,2639.6,2650.03,2660.47,2670.9,379 IST,2587.43,STOP_LOSS,-1.0,3,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,CAPLIPOINT,424 IST,BULL,424 IST,2770.0,2747.84,2803.24,2814.32,2825.4,2836.48,425 IST,2814.32,TARGET,2.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,GLENMARK,400 IST,SIDEWAYS,400 IST,2421.3,2401.93,2450.36,2460.04,2469.73,2479.41,405 IST,2401.93,STOP_LOSS,-1.0,5,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
