symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
UNITDSPR,MULTIBAGGER_CHAMPION_V1,2026-07-24,HOLDOUT,BULL,1467.2,1402.78,1724.89,0.121,HORIZON_REACHED,30
GRINDWELL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-11,VAL,BULL,1781.59,1660.28,2266.81,4.0,T1_HIT,33
GRINDWELL,MULTIBAGGER_CHAMPION_V1,2026-05-11,VAL,BULL,1781.59,1660.28,2266.81,4.0,T1_HIT,33
THELEELA,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-19,HOLDOUT,BULL,494.2,457.64,640.43,0.434,HORIZON_REACHED,40
THELEELA,MULTIBAGGER_CHAMPION_V1,2026-06-19,HOLDOUT,BULL,494.2,457.64,640.43,0.434,HORIZON_REACHED,40
NETWEB,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-02-27,VAL,BULL,3861.4,3493.11,5334.54,-1.0,SL_HIT,2
NETWEB,MULTIBAGGER_CHAMPION_V1,2026-02-27,VAL,BULL,3861.4,3493.11,5334.54,-1.0,SL_HIT,2
NETWEB,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-29,VAL,BULL,4670.7,4258.8,6318.3,-1.0,SL_HIT,6
NETWEB,MULTIBAGGER_CHAMPION_V1,2026-05-29,VAL,BULL,4670.7,4258.8,6318.3,-1.0,SL_HIT,6
GALAPREC,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-02-02,VAL,BULL,825.1,773.54,1031.33,-1.0,SL_HIT,3
GALAPREC,MULTIBAGGER_CHAMPION_V1,2026-02-02,VAL,BULL,825.1,773.54,1031.33,-1.0,SL_HIT,3
GALAPREC,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-15,HOLDOUT,BULL,1034.05,948.25,1377.25,-0.432,HORIZON_REACHED,40
GALAPREC,MULTIBAGGER_CHAMPION_V1,2026-06-15,HOLDOUT,BULL,1034.05,948.25,1377.25,-0.432,HORIZON_REACHED,40
GALAPREC,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-22,HOLDOUT,BULL,1173.1,1065.11,1605.04,-1.0,SL_HIT,5
GALAPREC,MULTIBAGGER_CHAMPION_V1,2026-06-22,HOLDOUT,BULL,1173.1,1065.11,1605.04,-1.0,SL_HIT,5
AVL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-19,HOLDOUT,BULL,629.9,578.49,835.56,-0.102,HORIZON_REACHED,40
AVL,MULTIBAGGER_CHAMPION_V1,2026-06-19,HOLDOUT,BULL,629.9,578.49,835.56,-0.102,HORIZON_REACHED,40
HCLTECH,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-19,DEV,BULL,1603.27,1550.38,1814.81,-1.0,SL_HIT,2
HCLTECH,MULTIBAGGER_CHAMPION_V1,2025-11-19,DEV,BULL,1603.27,1550.38,1814.81,-1.0,SL_HIT,2
BLUEJET,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-10,HOLDOUT,BULL,624.05,576.64,813.68,-1.0,SL_HIT,5
BLUEJET,MULTIBAGGER_CHAMPION_V1,2026-07-10,HOLDOUT,BULL,624.05,576.64,813.68,-1.0,SL_HIT,5
SOLARINDS,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-18,VAL,BULL,18019.0,16988.86,22139.57,-1.0,SL_HIT,21
SOLARINDS,MULTIBAGGER_CHAMPION_V1,2026-05-18,VAL,BULL,18019.0,16988.86,22139.57,-1.0,SL_HIT,21
STYL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-07,HOLDOUT,BULL,345.57,321.2,443.04,1.653,HORIZON_REACHED,40
STYL,MULTIBAGGER_CHAMPION_V1,2026-07-07,HOLDOUT,BULL,345.57,321.2,443.04,1.653,HORIZON_REACHED,40
STYL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-14,HOLDOUT,BULL,389.29,353.62,531.99,-1.0,SL_HIT,10
STYL,MULTIBAGGER_CHAMPION_V1,2026-07-14,HOLDOUT,BULL,389.29,353.62,531.99,-1.0,SL_HIT,10
LLOYDSME,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-17,VAL,BULL,1622.33,1510.84,2068.29,1.252,HORIZON_REACHED,40
LLOYDSME,MULTIBAGGER_CHAMPION_V1,2026-04-17,VAL,BULL,1622.33,1510.84,2068.29,1.252,HORIZON_REACHED,40
MAHABANK,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-12-31,DEV,BULL,60.2,57.93,69.31,4.0,T1_HIT,37
MAHABANK,MULTIBAGGER_CHAMPION_V1,2025-12-31,DEV,BULL,60.2,57.93,69.31,4.0,T1_HIT,37
MAHABANK,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-02-26,VAL,BULL,74.51,70.27,91.5,-1.0,SL_HIT,2
MAHABANK,MULTIBAGGER_CHAMPION_V1,2026-02-26,VAL,BULL,74.51,70.27,91.5,-1.0,SL_HIT,2
GVT&D,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-23,VAL,BULL,4496.4,4169.73,5803.09,2.307,HORIZON_REACHED,40
GVT&D,MULTIBAGGER_CHAMPION_V1,2026-04-23,VAL,BULL,4496.4,4169.73,5803.09,2.307,HORIZON_REACHED,40
BECTORFOOD,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-21,DEV,BULL,1749.31,1719.14,1869.96,4.0,T1_HIT,4
BECTORFOOD,MULTIBAGGER_CHAMPION_V1,2025-11-21,DEV,BULL,1749.31,1719.14,1869.96,4.0,T1_HIT,4
BECTORFOOD,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-08,VAL,BULL,2364.42,2324.83,2522.78,-1.0,SL_HIT,3
BECTORFOOD,MULTIBAGGER_CHAMPION_V1,2026-05-08,VAL,BULL,2364.42,2324.83,2522.78,-1.0,SL_HIT,3
UNIPARTS,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-10-07,DEV,BULL,432.38,399.24,564.91,1.503,HORIZON_REACHED,40
UNIPARTS,MULTIBAGGER_CHAMPION_V1,2025-10-07,DEV,BULL,432.38,399.24,564.91,1.503,HORIZON_REACHED,40
UNIPARTS,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-26,VAL,BULL,607.35,559.47,798.86,0.929,HORIZON_REACHED,22
UNIPARTS,MULTIBAGGER_CHAMPION_V1,2026-05-26,VAL,BULL,607.35,559.47,798.86,0.929,HORIZON_REACHED,22
NEULANDLAB,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-04,DEV,BULL,17608.0,16641.29,21474.86,-1.0,SL_HIT,11
NEULANDLAB,MULTIBAGGER_CHAMPION_V1,2025-11-04,DEV,BULL,17608.0,16641.29,21474.86,-1.0,SL_HIT,11
NEULANDLAB,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-08,VAL,BULL,17666.0,16463.57,22475.71,-1.0,SL_HIT,3
NEULANDLAB,MULTIBAGGER_CHAMPION_V1,2026-05-08,VAL,BULL,17666.0,16463.57,22475.71,-1.0,SL_HIT,3
NEULANDLAB,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-08-07,HOLDOUT,BULL,22855.0,21342.52,28904.92,-0.14,HORIZON_REACHED,20
NEULANDLAB,MULTIBAGGER_CHAMPION_V1,2026-08-07,HOLDOUT,BULL,22855.0,21342.52,28904.92,-0.14,HORIZON_REACHED,20
TITAGARH,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-18,HOLDOUT,BULL,932.6,864.77,1203.91,-1.0,SL_HIT,12
TITAGARH,MULTIBAGGER_CHAMPION_V1,2026-06-18,HOLDOUT,BULL,932.6,864.77,1203.91,-1.0,SL_HIT,12
RELTD,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-19,HOLDOUT,BULL,170.75,146.8,266.53,-0.253,HORIZON_REACHED,40
RELTD,MULTIBAGGER_CHAMPION_V1,2026-06-19,HOLDOUT,BULL,170.75,146.8,266.53,-0.253,HORIZON_REACHED,40
GRANULES,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-20,VAL,BULL,664.45,622.74,831.28,2.015,HORIZON_REACHED,40
GRANULES,MULTIBAGGER_CHAMPION_V1,2026-04-20,VAL,BULL,664.45,622.74,831.28,2.015,HORIZON_REACHED,40
