symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
APOLLOHOSP,MBAG_V56_CONVEX_D_90D_4R,2026-05-08,VAL,BULL,8097.0,7327.18,11176.28,769.82,4.0,0.9665,EXPIRED_POS,45
APOLLOHOSP,MBAG_V56_CONVEX_E_90D_6R,2026-05-08,VAL,BULL,8097.0,7327.18,12715.92,769.82,6.0,1.1036,EXPIRED_POS,60
APOLLOHOSP,MBAG_V56_CONVEX_F_MULTI_REG,2026-05-08,VAL,BULL,8097.0,7327.18,11946.1,769.82,5.0,0.947,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_1_NO_BASE_FILTER,2026-05-08,VAL,BULL,8097.0,7327.18,11946.1,769.82,5.0,0.947,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_2_NO_VOL_FILTER,2026-05-08,VAL,BULL,8097.0,7327.18,11946.1,769.82,5.0,0.947,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_3_NO_CPOS_FILTER,2026-05-08,VAL,BULL,8097.0,7327.18,11946.1,769.82,5.0,0.947,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-08,VAL,BULL,8097.0,7816.79,9498.05,280.21,5.0,-1.0,SL_HIT,8
APOLLOHOSP,MBAG_ABL_5_SHORT_HORIZON_20D,2026-05-08,VAL,BULL,8097.0,7327.18,11946.1,769.82,5.0,0.2695,EXPIRED_POS,20
APOLLOHOSP,MBAG_V56_CONVEX_A_90D_5R,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.8525,EXPIRED_POS,50
APOLLOHOSP,MBAG_V56_CONVEX_B_120D_5R,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.3587,EXPIRED_POS,60
APOLLOHOSP,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.7384,EXPIRED_POS,40
APOLLOHOSP,MBAG_V56_CONVEX_D_90D_4R,2026-05-21,VAL,BULL,8308.5,7523.69,11447.74,784.81,4.0,0.6921,EXPIRED_POS,45
APOLLOHOSP,MBAG_V56_CONVEX_E_90D_6R,2026-05-21,VAL,BULL,8308.5,7523.69,13017.36,784.81,6.0,0.3587,EXPIRED_POS,60
APOLLOHOSP,MBAG_V56_CONVEX_F_MULTI_REG,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.8525,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_1_NO_BASE_FILTER,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.8525,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_2_NO_VOL_FILTER,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.8525,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_3_NO_CPOS_FILTER,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.8525,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-21,VAL,BULL,8308.5,7985.07,9925.65,323.43,5.0,-1.0,SL_HIT,8
APOLLOHOSP,MBAG_ABL_5_SHORT_HORIZON_20D,2026-05-21,VAL,BULL,8308.5,7523.69,12232.55,784.81,5.0,0.1312,EXPIRED_POS,20
APOLLOHOSP,MBAG_ABL_2_NO_VOL_FILTER,2026-06-09,HOLDOUT,BULL,8524.0,7775.43,12266.85,748.57,5.0,0.3914,EXPIRED_POS,50
APOLLOHOSP,MBAG_ABL_2_NO_VOL_FILTER,2026-07-03,HOLDOUT,BULL,8893.5,8169.94,12511.3,723.56,5.0,-0.3089,EXPIRED_NEG,45
APOLLOTYRE,MBAG_ABL_2_NO_VOL_FILTER,2025-10-15,DEV,BULL,976.9969439501084,894.99,1387.03,82.01,5.0,1.6536,EXPIRED_POS,50
APOLLOTYRE,MBAG_ABL_2_NO_VOL_FILTER,2026-04-17,VAL,BULL,1166.6437366623754,1080.26,1598.56,86.38,5.0,1.5375,EXPIRED_POS,50
APOLLOTYRE,MBAG_ABL_2_NO_VOL_FILTER,2026-05-22,VAL,BULL,1273.6402773515665,1146.73,1908.19,126.91,5.0,0.3336,EXPIRED_POS,50
ARE&M,MBAG_ABL_1_NO_BASE_FILTER,2026-07-10,HOLDOUT,BULL,884.7478637695312,797.69,1320.04,87.06,5.0,-0.2377,EXPIRED_NEG,40
ARE&M,MBAG_ABL_4_FIXED_ATR_STOP,2026-08-11,HOLDOUT,BULL,970.25,909.05,1276.25,61.2,5.0,-1.0,SL_HIT,14
ARVIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-07,VAL,BULL,447.8999938964844,416.42,605.3,31.48,5.0,2.7827,EXPIRED_POS,50
ARVIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-18,VAL,BULL,472.6000061035156,429.83,686.45,42.77,5.0,1.1889,EXPIRED_POS,50
ARVIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-06-24,HOLDOUT,BULL,556.0999755859375,517.41,749.55,38.69,5.0,-1.0,SL_HIT,13
ARVIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-06-30,HOLDOUT,BULL,587.0999755859375,543.34,805.9,43.76,5.0,-1.0,SL_HIT,4
ARVINDFASN,MBAG_ABL_2_NO_VOL_FILTER,2025-08-18,DEV,BULL,823.2032722579983,767.13,1103.57,56.07,5.0,0.4529,EXPIRED_POS,50
ARVINDFASN,MBAG_ABL_2_NO_VOL_FILTER,2025-08-26,DEV,BULL,842.2269236560534,767.13,1217.71,75.1,5.0,0.0227,EXPIRED_POS,50
ARVINDFASN,MBAG_ABL_2_NO_VOL_FILTER,2026-03-25,VAL,BULL,1250.9290074991684,1130.39,1853.62,120.54,5.0,-1.0,SL_HIT,21
ASAHIINDIA,MBAG_ABL_1_NO_BASE_FILTER,2026-08-14,HOLDOUT,BULL,939.2000122070312,858.19,1344.25,81.01,5.0,0.2012,EXPIRED_POS,15
ASAHIINDIA,MBAG_ABL_4_FIXED_ATR_STOP,2026-08-18,HOLDOUT,BULL,962.7999877929688,909.31,1230.25,53.49,5.0,-0.1365,EXPIRED_NEG,13
ASHAPURMIN,MBAG_ABL_2_NO_VOL_FILTER,2025-09-16,DEV,BULL,2368.85118384293,2145.73,3484.46,223.12,5.0,2.5381,EXPIRED_POS,50
ASHOKLEY,MBAG_ABL_2_NO_VOL_FILTER,2025-12-08,DEV,BULL,1100.9766608023137,999.39,1608.91,101.59,5.0,2.1823,EXPIRED_POS,50
ASHOKLEY,MBAG_ABL_2_NO_VOL_FILTER,2025-12-11,DEV,BULL,1117.4139058107469,1014.6,1631.48,102.81,5.0,1.9283,EXPIRED_POS,50
ASHOKLEY,MBAG_ABL_2_NO_VOL_FILTER,2025-12-31,DEV,BULL,1132.6243677656182,1059.4,1498.75,73.22,5.0,2.323,EXPIRED_POS,50
ASHOKLEY,MBAG_ABL_2_NO_VOL_FILTER,2026-03-19,VAL,BULL,1360.3167330243036,1262.41,1849.85,97.91,5.0,-0.0353,EXPIRED_NEG,50
ASIANPAINT,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-05-08,VAL,BULL,2577.537109375,2353.16,3699.42,224.38,5.0,0.7143,EXPIRED_POS,40
ASIANPAINT,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-05-13,VAL,BULL,2595.085205078125,2353.16,3804.71,241.93,5.0,0.2927,EXPIRED_POS,40
ASIANPAINT,MBAG_ABL_1_NO_BASE_FILTER,2026-05-13,VAL,BULL,2595.085205078125,2348.72,3826.91,246.37,5.0,0.3966,EXPIRED_POS,50
ASKAUTOLTD,MBAG_ABL_2_NO_VOL_FILTER,2025-09-15,DEV,BULL,1963.432048685785,1828.48,2638.19,134.95,5.0,0.8632,EXPIRED_POS,50
ASKAUTOLTD,MBAG_ABL_2_NO_VOL_FILTER,2025-10-03,DEV,BULL,2055.3207719359516,1910.18,2781.02,145.14,5.0,0.979,EXPIRED_POS,50
ASKAUTOLTD,MBAG_ABL_2_NO_VOL_FILTER,2025-10-07,DEV,BULL,2071.020475163604,1911.64,2867.92,159.38,5.0,1.1684,EXPIRED_POS,50
ASKAUTOLTD,MBAG_ABL_2_NO_VOL_FILTER,2026-03-24,VAL,BULL,2358.3689265534244,2155.62,3372.11,202.75,5.0,-0.3488,EXPIRED_NEG,50
ASTERDM,MBAG_ABL_2_NO_VOL_FILTER,2025-11-13,DEV,BULL,1405.8964565974507,1274.45,2063.13,131.45,5.0,1.5433,EXPIRED_POS,50
ASTERDM,MBAG_ABL_2_NO_VOL_FILTER,2025-11-25,DEV,BULL,1456.5010485258001,1311.54,2181.31,144.96,5.0,0.9256,EXPIRED_POS,50
ASTERDM,MBAG_ABL_2_NO_VOL_FILTER,2026-04-15,VAL,BULL,1684.022503454498,1543.44,2386.94,140.58,5.0,-0.6077,EXPIRED_NEG,50
