scanner,ctype,combo,be,n,nc,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v512_wr,v512_er,v58_wr,v58_er
EOD_BREAKOUT,SINGLE,G12_EARLY_CYCLE,0.5,2494,2494,14.64,-0.4812,0.414,1306.4,0.0,553,-0.3946,0.488,-30.28,-0.6312,-0.5296,-0.4327,-0.5739,-0.6666,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G12_EARLY_CYCLE,0.8,2494,2494,14.64,-0.5084,0.401,1352.28,0.0,553,-0.4406,0.46,-30.28,-0.6584,-0.557,-0.4597,-0.6019,-0.6954,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G12_EARLY_CYCLE,1.0,2494,2494,14.64,-0.5262,0.393,1396.8,0.0,553,-0.4751,0.442,-30.28,-0.6762,-0.5749,-0.4775,-0.6202,-0.7142,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G12_EARLY_CYCLE,1.2,2494,2494,14.64,-0.5445,0.385,1442.38,0.0,553,-0.4924,0.433,-30.28,-0.6945,-0.5933,-0.4957,-0.639,-0.7335,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G12_EARLY_CYCLE,1.5,2494,2494,14.64,-0.5717,0.373,1495.96,0.0,553,-0.5039,0.427,-30.28,-0.7217,-0.6206,-0.5228,-0.667,-0.7623,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G7_BULL,0.0,7958,7958,42.89,-0.0548,0.9,733.0,0.0,1886,0.13,1.254,-2.03,-0.2048,-0.0816,-0.028,-0.1395,-0.2242,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G7_BULL,0.5,7958,7958,42.89,0.0498,1.113,626.04,0.0,1886,0.2418,1.606,-2.03,-0.1002,0.0242,0.0753,-0.0323,-0.1144,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G7_BULL,0.8,7958,7958,42.89,0.0354,1.078,697.47,0.0,1886,0.2352,1.58,-2.03,-0.1146,0.0096,0.0611,-0.0471,-0.1295,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G7_BULL,1.0,7958,7958,42.89,0.025,1.054,697.47,0.0,1886,0.2163,1.509,-2.03,-0.125,-0.0009,0.0509,-0.0577,-0.1404,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G7_BULL,1.2,7958,7958,42.89,0.015,1.032,716.22,0.0,1886,0.2045,1.469,-2.03,-0.135,-0.011,0.0411,-0.0679,-0.1509,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G7_BULL,1.5,7958,7958,42.89,0.0047,1.01,719.48,0.0,1886,0.1983,1.448,-2.03,-0.1453,-0.0214,0.0309,-0.0785,-0.1617,44.92,0.15,41.01,-0.074
