symbol,scan_date,next_date,regime,eod_score,est_5m_score,vol_surge,price_move_pct,gap_up_pct,raw_r,realized_r,hit_stop,atr,o_nd,h_nd,l_nd,c_nd,variant_id,sector
TATAMOTORS,2026-03-26,2026-03-27,BEAR,100.0,90.0,5.951,0.376,-1.355,0.69,-1.0,1,21.04,421.24,432.12,402.56,422.83,V1_PROD_BASELINE,AUTO
PERSISTENT,2026-03-26,2026-03-27,BEAR,80.0,80.0,1.267,0.406,-0.99,0.74,0.168,0,194.31,4880.0,4987.4,4851.1,4899.8,V1_PROD_BASELINE,IT
TCS,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.278,2.712,-0.922,1.69,1.098,0,65.0,2341.24,2423.57,2331.14,2404.73,V1_PROD_BASELINE,IT
SUNPHARMA,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.435,1.718,-3.674,1.2,0.779,1,38.82,1660.65,1695.56,1615.77,1689.17,V1_PROD_BASELINE,PHARMA
DRREDDY,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.826,2.509,-1.827,1.3,0.845,1,35.77,1180.02,1214.9,1160.14,1209.63,V1_PROD_BASELINE,PHARMA
DLF,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.445,4.242,-1.717,1.59,1.033,1,19.44,494.79,517.95,483.33,515.77,V1_PROD_BASELINE,REALTY
TRENT,2026-04-03,2026-04-06,BEAR,100.0,90.0,4.43,5.466,2.374,2.23,1.45,0,93.33,2419.69,2575.86,2419.69,2551.96,V1_PROD_BASELINE,CONS
KAYNES,2026-04-03,2026-04-06,BEAR,100.0,85.0,1.448,4.47,0.28,1.3,0.845,0,180.5,3547.9,3723.9,3460.0,3706.5,V1_PROD_BASELINE,TECH
GODREJPROP,2026-04-03,2026-04-06,BEAR,80.0,80.0,1.916,4.463,0.577,1.52,0.99,0,65.33,1509.7,1584.34,1486.61,1577.08,V1_PROD_BASELINE,REALTY
HEROMOTOCO,2026-04-09,2026-04-10,BULL,80.0,80.0,1.467,3.2,0.246,1.37,0.888,0,183.03,5297.0,5484.5,5295.5,5466.5,V1_PROD_BASELINE,AUTO
KOTAKBANK,2026-05-05,2026-05-06,NEUTRAL,100.0,85.0,1.704,0.695,0.714,0.85,-1.0,1,9.36,373.36,379.35,365.02,375.95,V1_PROD_BASELINE,BANK
ICICIGI,2026-05-05,2026-05-06,NEUTRAL,100.0,90.0,2.222,1.395,0.456,1.15,0.749,0,43.34,1778.25,1815.71,1768.49,1803.05,V1_PROD_BASELINE,FINSERV
ICICIBANK,2026-05-05,2026-05-06,NEUTRAL,80.0,80.0,1.543,1.387,0.855,1.02,0.663,0,27.19,1262.0,1282.8,1252.1,1279.5,V1_PROD_BASELINE,BANK
SBIN,2026-05-05,2026-05-06,NEUTRAL,80.0,80.0,1.296,2.239,1.142,1.6,1.038,0,23.86,1053.02,1081.6,1042.41,1076.59,V1_PROD_BASELINE,BANK
TITAN,2026-05-07,2026-05-08,BULL,80.0,85.0,5.828,4.52,0.151,3.95,2.57,1,97.82,4299.89,4589.94,4199.62,4494.25,V1_PROD_BASELINE,CONS
BHARTIARTL,2026-05-11,2026-05-12,BEAR,80.0,80.0,1.37,0.303,-0.472,0.82,0.212,0,40.47,1751.5,1776.5,1751.5,1756.8,V1_PROD_BASELINE,TELECOM
DLF,2026-05-13,2026-05-14,BEAR,100.0,85.0,1.966,1.949,-0.357,1.3,0.847,1,16.51,565.01,581.15,546.93,576.02,V1_PROD_BASELINE,REALTY
BHARTIARTL,2026-05-13,2026-05-14,BEAR,100.0,90.0,2.347,3.489,1.721,2.27,1.475,1,40.66,1820.0,1889.2,1797.3,1883.5,V1_PROD_BASELINE,TELECOM
HDFCBANK,2026-05-13,2026-05-14,BEAR,80.0,80.0,1.459,2.47,0.187,2.06,1.341,0,17.36,738.78,765.64,734.85,757.03,V1_PROD_BASELINE,BANK
TECHM,2026-05-15,2026-05-18,BEAR,80.0,85.0,3.411,4.862,-0.496,2.44,1.584,0,39.46,1329.16,1401.28,1329.16,1393.78,V1_PROD_BASELINE,IT
IOC,2026-05-19,2026-05-20,NEUTRAL,80.0,80.0,1.445,2.502,-0.244,1.29,0.839,0,3.98,134.67,138.52,133.0,138.04,V1_PROD_BASELINE,ENERGY
EICHERMOT,2026-05-21,2026-05-22,NEUTRAL,80.0,80.0,1.268,0.816,0.479,0.88,0.238,0,176.54,6925.0,7041.0,6908.5,6981.5,V1_PROD_BASELINE,AUTO
COALINDIA,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.73,3.516,-0.295,2.1,1.367,0,12.96,456.55,477.0,456.55,472.6,V1_PROD_BASELINE,ENERGY
TCS,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.548,0.587,1.111,1.33,0.867,0,50.68,2271.55,2322.27,2267.57,2284.87,V1_PROD_BASELINE,IT
HCLTECH,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.982,0.42,0.532,1.18,0.766,0,25.43,1178.07,1200.54,1178.07,1183.02,V1_PROD_BASELINE,IT
DIVISLAB,2026-06-02,2026-06-03,BEAR,80.0,80.0,1.444,0.867,-0.199,0.77,0.183,0,146.94,6520.0,6604.5,6460.0,6576.5,V1_PROD_BASELINE,PHARMA
MARUTI,2026-06-02,2026-06-03,BEAR,80.0,80.0,1.687,0.231,-0.061,0.86,0.229,0,298.32,13014.0,13206.0,12911.0,13044.0,V1_PROD_BASELINE,AUTO
CHOLAFIN,2026-06-04,2026-06-05,BEAR,100.0,85.0,1.986,1.123,0.034,1.75,1.137,0,47.6,1485.92,1548.39,1479.52,1502.61,V1_PROD_BASELINE,FINSERV
SBIN,2026-06-08,2026-06-09,BEAR,100.0,85.0,1.434,1.797,0.311,1.45,0.942,0,22.09,985.0,1009.0,983.0,1002.7,V1_PROD_BASELINE,BANK
ICICIBANK,2026-06-08,2026-06-09,BEAR,80.0,80.0,1.492,1.594,0.384,1.39,0.902,0,23.94,1255.0,1279.9,1252.7,1275.0,V1_PROD_BASELINE,BANK
DIVISLAB,2026-06-08,2026-06-09,BEAR,80.0,85.0,2.911,3.336,0.215,2.3,1.496,0,147.71,6535.0,6790.0,6535.0,6753.0,V1_PROD_BASELINE,PHARMA
