symbol,timestamp,mfe_pct,mae_pct,mfe_r,mae_r,target_hit_3r,target_hit_2r,target_hit_1r,sl_hit_1r
WAAREERTL,2026-08-20 07:43:34.265213+05:30,44.30508893540912,-2.976129091336711,44.30508893540911,-2.9761290913367104,1,1,1,1
WAAREERTL,2026-08-20 07:48:34.265213+05:30,46.12150467414238,-1.7548576347895135,46.12150467414238,-1.7548576347895137,1,1,1,1
WAAREERTL,2026-08-20 07:53:34.265213+05:30,46.6104098768994,-1.4261410550152303,46.610409876899396,-1.4261410550152303,1,1,1,1
WAAREERTL,2026-08-20 07:57:34.202395+05:30,2.286119002647527,-31.227683797741122,2.2861190026475273,-31.227683797741122,0,1,1,1
WAAREERTL,2026-08-20 07:58:34.265213+05:30,47.55516428316616,-0.7909331754438779,47.55516428316616,-0.7909331754438779,1,1,1,0
WAAREERTL,2026-08-20 08:02:34.202395+05:30,2.1251299717419805,-31.33592515684719,2.1251299717419805,-31.33592515684719,0,1,1,1
WAAREERTL,2026-08-20 08:12:34.202395+05:30,1.7144687686413762,-31.612034196734644,1.714468768641376,-31.612034196734644,0,0,1,1
WAAREERTL,2026-08-20 08:13:34.265213+05:30,48.393594990302994,0.45345463982620876,48.393594990302994,0.45345463982620876,1,1,1,0
WAAREERTL,2026-08-20 08:22:34.202395+05:30,0.6790865642231717,-31.60275632188044,0.6790865642231717,-31.60275632188044,0,0,0,1
WAAREERTL,2026-08-20 08:23:34.265213+05:30,45.46943113841825,-1.1740325738363868,45.469431138418244,-1.1740325738363868,1,1,1,1
WAAREERTL,2026-08-20 08:27:34.202395+05:30,-0.21844984543661095,-31.985566565492846,-0.21844984543661095,-31.985566565492846,0,0,0,1
WAAREERTL,2026-08-20 08:32:34.202395+05:30,1.0808985229318817,-31.131205452198202,1.0808985229318817,-31.131205452198202,0,0,1,1
WAAREERTL,2026-08-20 08:37:34.202395+05:30,4.960467128915735,-30.741267451751693,4.960467128915735,-30.741267451751686,1,1,1,1
WAAREERTL,2026-08-20 08:38:34.265213+05:30,52.95946237020155,1.4135581071979622,52.95946237020155,1.4135581071979622,1,1,1,0
WAAREERTL,2026-08-20 08:47:34.202395+05:30,7.495765982685401,-27.210411174534837,7.495765982685402,-27.210411174534837,1,1,1,1
WAAREERTL,2026-08-20 08:53:34.265213+05:30,46.90147428117278,0.6502386847820477,46.90147428117279,0.6502386847820477,1,1,1,0
WAAREERTL,2026-08-20 08:58:34.265213+05:30,44.33001552579678,-1.1116084223564657,44.33001552579678,-1.111608422356466,1,1,1,1
WAAREERTL,2026-08-20 09:07:34.202395+05:30,7.329380273062738,-26.25812604466537,7.329380273062738,-26.258126044665367,1,1,1,1
WAAREERTL,2026-08-20 09:08:34.265213+05:30,44.945719993659225,-0.41339112418003865,44.94571999365923,-0.4133911241800387,1,1,1,0
WAAREERTL,2026-08-20 09:23:34.265213+05:30,43.21739106306806,-1.6008592138006004,43.21739106306806,-1.6008592138006006,1,1,1,1
WAAREERTL,2026-08-20 09:37:34.202395+05:30,2.319923545095678,-29.699930382663236,2.3199235450956777,-29.699930382663233,0,1,1,1
WAAREERTL,2026-08-20 09:43:34.265213+05:30,39.53846134234113,-4.1285098073861795,39.53846134234114,-4.1285098073861795,1,1,1,1
WAAREERTL,2026-08-20 09:53:34.265213+05:30,43.06266674452273,-1.9782747769238138,43.06266674452273,-1.9782747769238138,1,1,1,1
WAAREERTL,2026-08-20 10:02:34.202395+05:30,3.0295372168828094,-29.40762802241947,3.0295372168828094,-29.407628022419466,1,1,1,1
