scanner,combo,ctype,be,n_candidates,n_confirmed,n_executed,funnel_pct,wr,er,pf,dwr,der
EOD_BREAKOUT,G14_ASYMMETRIC,SINGLE,1.5,10523,3759,3759,35.7,36.5,-0.0718,0.877,-8.42,-0.2218
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,0.0,10523,2020,2020,19.2,19.16,-0.528,0.458,-25.76,-0.678
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,0.5,10523,2020,2020,19.2,19.16,-0.3312,0.574,-25.76,-0.4812
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,0.8,10523,2020,2020,19.2,19.16,-0.3569,0.556,-25.76,-0.5069
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,1.0,10523,2020,2020,19.2,19.16,-0.3742,0.544,-25.76,-0.5242
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,1.2,10523,2020,2020,19.2,19.16,-0.391,0.533,-25.76,-0.541
EOD_BREAKOUT,G16_FAST_TIGHT,SINGLE,1.5,10523,2020,2020,19.2,19.16,-0.4167,0.518,-25.76,-0.5667
EOD_BREAKOUT,G17_MID_PRICE,SINGLE,0.0,10523,6315,6315,60.0,42.57,-0.0439,0.919,-2.35,-0.1939
EOD_BREAKOUT,G17_MID_PRICE,SINGLE,0.5,10523,6315,6315,60.0,42.57,0.0638,1.147,-2.35,-0.0862
EOD_BREAKOUT,G17_MID_PRICE,SINGLE,0.8,10523,6315,6315,60.0,42.57,0.0484,1.107,-2.35,-0.1016
EOD_BREAKOUT,G17_MID_PRICE,SINGLE,1.0,10523,6315,6315,60.0,42.57,0.038,1.082,-2.35,-0.112
EOD_BREAKOUT,G17_MID_PRICE,SINGLE,1.2,10523,6315,6315,60.0,42.57,0.031,1.066,-2.35,-0.119
EOD_BREAKOUT,G17_MID_PRICE,SINGLE,1.5,10523,6315,6315,60.0,42.57,0.0163,1.034,-2.35,-0.1337
EOD_BREAKOUT,G18_ACTIVE_NAME,SINGLE,0.0,10523,9857,9857,93.7,41.44,-0.0736,0.868,-3.48,-0.2236
EOD_BREAKOUT,G18_ACTIVE_NAME,SINGLE,0.5,10523,9857,9857,93.7,41.44,0.0358,1.08,-3.48,-0.1142
EOD_BREAKOUT,G18_ACTIVE_NAME,SINGLE,0.8,10523,9857,9857,93.7,41.44,0.0207,1.045,-3.48,-0.1293
EOD_BREAKOUT,G18_ACTIVE_NAME,SINGLE,1.0,10523,9857,9857,93.7,41.44,0.0105,1.022,-3.48,-0.1395
EOD_BREAKOUT,G18_ACTIVE_NAME,SINGLE,1.2,10523,9857,9857,93.7,41.44,0.0004,1.001,-3.48,-0.1496
EOD_BREAKOUT,G18_ACTIVE_NAME,SINGLE,1.5,10523,9857,9857,93.7,41.44,-0.0115,0.977,-3.48,-0.1615
EOD_BREAKOUT,G19_BULL_TIGHT,SINGLE,0.0,10523,2892,2892,27.5,38.31,-0.1306,0.798,-6.61,-0.2806
EOD_BREAKOUT,G19_BULL_TIGHT,SINGLE,0.5,10523,2892,2892,27.5,38.31,-0.0086,0.984,-6.61,-0.1586
EOD_BREAKOUT,G19_BULL_TIGHT,SINGLE,0.8,10523,2892,2892,27.5,38.31,-0.0261,0.952,-6.61,-0.1761
EOD_BREAKOUT,G19_BULL_TIGHT,SINGLE,1.0,10523,2892,2892,27.5,38.31,-0.0378,0.932,-6.61,-0.1878
EOD_BREAKOUT,G19_BULL_TIGHT,SINGLE,1.2,10523,2892,2892,27.5,38.31,-0.0491,0.913,-6.61,-0.1991
EOD_BREAKOUT,G19_BULL_TIGHT,SINGLE,1.5,10523,2892,2892,27.5,38.31,-0.0651,0.888,-6.61,-0.2151
EOD_BREAKOUT,G20_BULL_FAST,SINGLE,0.0,10523,2835,2835,26.9,19.19,-0.5269,0.459,-25.73,-0.6769
EOD_BREAKOUT,G20_BULL_FAST,SINGLE,0.5,10523,2835,2835,26.9,19.19,-0.3302,0.576,-25.73,-0.4802
EOD_BREAKOUT,G20_BULL_FAST,SINGLE,0.8,10523,2835,2835,26.9,19.19,-0.3556,0.557,-25.73,-0.5056
EOD_BREAKOUT,G20_BULL_FAST,SINGLE,1.0,10523,2835,2835,26.9,19.19,-0.3728,0.546,-25.73,-0.5228
EOD_BREAKOUT,G20_BULL_FAST,SINGLE,1.2,10523,2835,2835,26.9,19.19,-0.39,0.534,-25.73,-0.54
