symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
KOTAKBANK,WYCKOFF_SPRING_TYPE_2,2026-07-20,2026,OOS_2026,BEAR,88.0,382.05,365.93,406.23,4.22,0.78,1.73,0.22,WIN,0.66,20,2.79,1.11,0.24,2026-08-16,392.70001220703125,TIMEOUT_20D
KPIL,V_REVERSAL,2025-12-24,2025,VAL_2025,SIDEWAYS,85.0,1190.76,1119.32,1297.92,6.0,0.85,1.76,0.15,LOSS,-1.0,11,-6.0,0.37,1.32,2026-01-08,1119.32,STOP_LOSS
KPIL,V_REVERSAL,2026-02-03,2026,OOS_2026,BEAR,89.0,1118.34,1051.24,1218.99,6.0,0.86,4.21,0.14,WIN,1.5,18,9.0,1.81,0.77,2026-02-26,1218.99,TARGET_1
KPIL,V_REVERSAL,2026-02-24,2026,OOS_2026,SIDEWAYS,84.0,1195.82,1124.07,1303.45,6.0,0.91,1.61,0.09,LOSS,-1.0,5,-6.0,0.61,1.3,2026-03-03,1124.07,STOP_LOSS
KPIL,MULTI_MONTH_BASE_BREAKOUT,2026-06-22,2026,OOS_2026,BULL,91.0,1428.26,1356.73,1535.55,5.01,0.82,1.58,0.18,LOSS,-1.0,5,-5.01,0.55,1.26,2026-06-28,1356.73,STOP_LOSS
KPIL,WYCKOFF_SPRING_TYPE_2,2026-08-06,2026,OOS_2026,BEAR,91.0,1294.1,1251.91,1357.38,3.26,0.82,1.59,0.18,WIN,1.5,3,4.89,1.68,0.24,2026-08-10,1357.38,TARGET_1
KPITTECH,HIGHER_LOW_REVERSAL,2025-12-01,2025,VAL_2025,BULL,85.0,1255.34,1180.02,1368.32,6.0,0.77,1.51,0.23,LOSS,-1.0,11,-6.0,0.35,1.23,2025-12-15,1180.02,STOP_LOSS
KPITTECH,V_REVERSAL,2025-12-19,2025,VAL_2025,BULL,92.0,1221.82,1148.51,1331.78,6.0,0.93,2.41,0.07,LOSS,-1.0,9,-6.0,0.19,1.0,2026-01-01,1148.51,STOP_LOSS
KPITTECH,CUP_HANDLE,2026-04-30,2026,OOS_2026,SIDEWAYS,85.0,759.05,713.51,827.36,6.0,0.79,1.67,0.21,LOSS,-1.0,5,-6.0,0.8,1.09,2026-05-06,713.51,STOP_LOSS
KPITTECH,CUP_HANDLE,2026-06-19,2026,OOS_2026,BULL,87.0,760.05,732.62,801.19,3.61,0.83,1.99,0.17,LOSS,-1.0,6,-3.61,0.4,1.9,2026-06-28,732.62,STOP_LOSS
