symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
HEMIPROP,HIGHER_LOW_REVERSAL,2025-05-21,2025,VAL_2025,BULL,84.0,1915.88,1852.18,2011.42,3.32,0.76,1.22,0.24,WIN,2.0,10,7.0,2.12,0.51,2025-06-04,2050.0,TARGET_1
HINDALCO,HIGHER_LOW_REVERSAL,2026-05-27,2026,OOS_2026,BULL,89.0,1143.73,1075.11,1246.67,6.0,0.88,1.52,0.12,LOSS,-1.0,8,-6.0,0.38,1.43,2026-06-08,1075.11,STOP_LOSS
HONASA,HIGHER_LOW_REVERSAL,2026-06-29,2026,OOS_2026,BULL,93.0,446.45,419.66,486.64,6.0,0.92,2.98,0.08,SCRATCH,0.44,25,2.63,1.68,0.34,2026-08-03,458.2,TIME_EXPIRY
HONAUT,HIGHER_LOW_REVERSAL,2025-07-29,2025,VAL_2025,BULL,85.0,861.18,829.21,909.12,3.71,0.81,1.48,0.19,SCRATCH,0.15,25,0.56,0.44,0.78,2025-09-02,865.98,TIME_EXPIRY
ICICIBANK,HIGHER_LOW_REVERSAL,2026-02-12,2026,OOS_2026,BULL,84.0,1430.0,1381.86,1502.21,3.37,0.89,1.26,0.11,LOSS,-1.0,11,-3.5,0.09,1.06,2026-02-27,1379.95,STOP_LOSS
ICICIAMC,HIGHER_LOW_REVERSAL,2026-02-16,2026,OOS_2026,SIDEWAYS,88.0,2001.76,1923.95,2118.48,3.89,0.93,1.42,0.07,LOSS,-1.0,25,-3.89,0.99,1.13,2026-03-23,1923.95,STOP_LOSS
IDFCFIRSTB,HIGHER_LOW_REVERSAL,2025-12-12,2025,VAL_2025,BULL,85.0,82.05,77.72,88.54,5.28,0.76,1.62,0.24,SCRATCH,0.19,25,1.01,1.08,0.13,2026-01-19,82.88,TIME_EXPIRY
IDFCFIRSTB,HIGHER_LOW_REVERSAL,2026-06-12,2026,OOS_2026,BULL,86.0,76.28,71.7,83.14,6.0,0.78,1.73,0.22,SCRATCH,0.84,25,5.03,1.15,0.0,2026-07-17,80.11,TIME_EXPIRY
IDFCFIRSTB,HIGHER_LOW_REVERSAL,2026-07-20,2026,OOS_2026,BULL,82.0,81.54,78.28,86.43,4.0,0.84,1.25,0.16,WIN,1.29,25,5.16,2.13,0.89,2026-08-24,85.75,TIME_EXPIRY
IDBI,HIGHER_LOW_REVERSAL,2025-10-09,2025,VAL_2025,BULL,87.0,1724.45,1680.3,1790.67,2.56,0.77,1.49,0.23,SCRATCH,0.28,25,0.97,1.15,0.55,2025-11-13,1741.15,TIME_EXPIRY
IEX,HIGHER_LOW_REVERSAL,2025-12-01,2025,VAL_2025,SIDEWAYS,93.0,142.7,135.31,153.78,5.18,0.87,4.47,0.13,LOSS,-1.0,7,-5.18,0.67,1.03,2025-12-10,135.31,STOP_LOSS
IDEA,HIGHER_LOW_REVERSAL,2025-09-01,2025,VAL_2025,BULL,82.0,787.11,739.88,857.95,6.0,0.76,1.29,0.24,SCRATCH,-0.08,25,-0.48,0.38,0.66,2025-10-06,783.31,TIME_EXPIRY
INDHOTEL,HIGHER_LOW_REVERSAL,2026-06-12,2026,OOS_2026,BULL,83.0,676.44,639.52,731.81,5.46,0.89,1.23,0.11,WIN,2.0,17,10.92,2.07,0.0,2026-07-07,750.28,TARGET_1
INDGN,HIGHER_LOW_REVERSAL,2026-01-20,2026,OOS_2026,BULL,90.0,2159.76,2054.99,2316.91,4.85,0.87,1.49,0.13,LOSS,-0.58,25,-2.83,0.67,0.74,2026-02-24,2098.62,TIME_EXPIRY
INDOBORAX,HIGHER_LOW_REVERSAL,2026-05-21,2026,OOS_2026,BULL,92.0,297.38,279.54,324.14,6.0,0.9,10.45,0.1,WIN,2.0,10,12.0,2.23,0.32,2026-06-04,333.06,TARGET_1
IOC,HIGHER_LOW_REVERSAL,2025-12-31,2025,VAL_2025,BULL,91.0,164.39,157.62,174.54,4.12,0.85,1.92,0.15,LOSS,-1.0,6,-4.12,0.34,1.56,2026-01-08,157.62,STOP_LOSS
IRB,HIGHER_LOW_REVERSAL,2026-05-12,2026,OOS_2026,BULL,86.0,2833.31,2695.47,3040.07,4.86,0.7,1.91,0.3,WIN,2.16,17,10.51,2.23,0.64,2026-06-04,3131.17,TARGET_1
IXIGO,HIGHER_LOW_REVERSAL,2025-03-18,2025,VAL_2025,BULL,82.0,1947.37,1854.34,2086.91,4.78,0.79,1.33,0.21,LOSS,-1.0,20,-4.78,0.0,1.37,2025-04-15,1854.34,STOP_LOSS
JAINREC,HIGHER_LOW_REVERSAL,2025-06-27,2025,VAL_2025,BULL,82.0,1547.64,1474.07,1658.0,4.75,0.77,1.21,0.23,LOSS,-1.0,9,-4.75,0.0,1.12,2025-07-10,1474.07,STOP_LOSS
JBMA,HIGHER_LOW_REVERSAL,2026-02-09,2026,OOS_2026,BULL,88.0,2264.65,2128.77,2468.46,6.0,0.81,1.66,0.19,WIN,1.83,25,10.96,1.94,0.16,2026-03-16,2512.87,TIME_EXPIRY
JKCEMENT,HIGHER_LOW_REVERSAL,2026-04-21,2026,OOS_2026,SIDEWAYS,82.0,5898.55,5544.63,6429.42,6.0,0.89,1.32,0.11,LOSS,-1.0,4,-6.0,0.28,1.02,2026-04-27,5544.63,STOP_LOSS
JPPOWER,HIGHER_LOW_REVERSAL,2025-07-23,2025,VAL_2025,BEAR,83.0,1721.75,1651.8,1826.67,4.06,0.81,1.46,0.19,WIN,2.13,22,8.66,2.19,0.63,2025-08-22,1870.8,TARGET_1
JSWINFRA,HIGHER_LOW_REVERSAL,2026-06-12,2026,OOS_2026,BULL,90.0,290.12,272.72,316.23,6.0,0.77,2.27,0.23,WIN,3.0,8,17.99,3.06,0.02,2026-06-24,342.32,TARGET_2
JSWSTEEL,HIGHER_LOW_REVERSAL,2025-02-07,2025,VAL_2025,SIDEWAYS,88.0,972.53,914.18,1060.05,6.0,0.89,1.57,0.11,SCRATCH,0.42,25,2.54,0.88,0.72,2025-03-18,997.27,TIME_EXPIRY
JSWSTEEL,HIGHER_LOW_REVERSAL,2025-10-09,2025,VAL_2025,BULL,83.0,1168.49,1107.74,1259.61,5.2,0.89,1.3,0.11,SCRATCH,0.0,25,0.03,0.8,0.72,2025-11-17,1168.79,TIME_EXPIRY
JUBLPHARMA,HIGHER_LOW_REVERSAL,2025-10-21,2025,VAL_2025,BULL,87.0,1665.62,1618.13,1736.86,2.85,0.81,1.5,0.19,WIN,2.28,7,7.96,2.44,0.0,2025-10-30,1798.28,TARGET_1
KALYANKJIL,HIGHER_LOW_REVERSAL,2026-07-09,2026,OOS_2026,BULL,93.0,443.0,416.42,482.87,6.0,0.93,7.65,0.07,WIN,3.0,2,18.0,3.34,0.0,2026-07-13,522.74,TARGET_2
KARURVYSYA,HIGHER_LOW_REVERSAL,2025-10-20,2025,VAL_2025,BULL,92.0,241.31,226.83,263.03,6.0,0.86,4.13,0.14,SCRATCH,0.73,25,4.36,1.19,0.02,2025-11-26,251.84,TIME_EXPIRY
KAYNES,HIGHER_LOW_REVERSAL,2026-05-08,2026,OOS_2026,BULL,79.0,4507.5,4237.05,4913.17,6.0,0.84,1.32,0.16,LOSS,-1.0,2,-6.0,0.09,1.8,2026-05-12,4237.05,STOP_LOSS
KERNEX,HIGHER_LOW_REVERSAL,2026-08-04,2026,OOS_2026,BULL,86.0,2419.1,2273.95,2636.83,6.0,0.86,1.5,0.14,LOSS,-1.0,4,-6.0,1.11,1.2,2026-08-10,2273.95,STOP_LOSS
KEC,HIGHER_LOW_REVERSAL,2025-11-27,2025,VAL_2025,BULL,82.0,1301.55,1235.57,1400.52,5.07,0.81,1.33,0.19,LOSS,-1.0,8,-5.07,0.05,1.03,2025-12-09,1235.57,STOP_LOSS
KIRLOSENG,HIGHER_LOW_REVERSAL,2026-01-30,2026,OOS_2026,SIDEWAYS,86.0,1169.46,1099.3,1274.71,6.0,0.92,1.41,0.08,LOSS,-1.0,1,-6.0,0.0,1.03,2026-02-02,1099.3,STOP_LOSS
KIRLOSENG,HIGHER_LOW_REVERSAL,2026-05-27,2026,OOS_2026,BULL,85.0,1826.14,1716.57,1990.49,6.0,0.93,1.49,0.07,WIN,2.0,16,12.0,2.03,0.35,2026-06-18,2045.28,TARGET_1
KIRLOSENG,HIGHER_LOW_REVERSAL,2026-06-22,2026,OOS_2026,BULL,93.0,2384.76,2241.67,2599.39,6.0,1.0,3.99,0.0,LOSS,-1.0,9,-6.0,2.3,1.18,2026-07-03,2241.67,STOP_LOSS
KIRLPNU,HIGHER_LOW_REVERSAL,2026-06-17,2026,OOS_2026,BULL,90.0,1824.04,1714.6,1988.2,6.0,0.83,6.52,0.17,WIN,3.0,3,18.0,3.32,0.34,2026-06-22,2152.36,TARGET_2
KNRCON,HIGHER_LOW_REVERSAL,2025-03-20,2025,VAL_2025,BULL,93.0,1862.56,1800.72,1955.33,3.32,0.91,1.58,0.09,LOSS,-1.0,14,-3.5,0.68,1.22,2025-04-09,1797.37,STOP_LOSS
KNRCON,HIGHER_LOW_REVERSAL,2025-10-27,2025,VAL_2025,BULL,85.0,2642.77,2582.32,2733.45,2.29,0.84,1.4,0.16,LOSS,-1.0,6,-3.5,0.1,1.11,2025-11-04,2550.27,STOP_LOSS
KNRCON,HIGHER_LOW_REVERSAL,2026-01-07,2026,OOS_2026,BEAR,86.0,2166.73,2117.26,2240.94,2.28,0.97,1.3,0.03,LOSS,-1.0,14,-3.5,0.44,1.05,2026-01-27,2090.89,STOP_LOSS
KOTAKBANK,HIGHER_LOW_REVERSAL,2025-10-28,2025,VAL_2025,BULL,72.0,431.42,417.44,452.38,3.24,0.72,1.31,0.28,LOSS,-1.0,6,-3.5,0.18,1.17,2025-11-06,416.32,STOP_LOSS
KPITTECH,HIGHER_LOW_REVERSAL,2025-12-01,2025,VAL_2025,BULL,85.0,1255.34,1180.02,1368.32,6.0,0.77,1.51,0.23,LOSS,-1.0,11,-6.0,0.35,1.23,2025-12-16,1180.02,STOP_LOSS
KPRMILL,HIGHER_LOW_REVERSAL,2026-06-18,2026,OOS_2026,BULL,93.0,1183.8,1112.77,1290.34,6.0,0.86,8.94,0.14,LOSS,-1.0,8,-6.0,2.07,1.02,2026-06-30,1112.77,STOP_LOSS
KRN,HIGHER_LOW_REVERSAL,2026-07-15,2026,OOS_2026,BULL,93.0,1285.5,1208.37,1401.2,6.0,1.0,2.17,0.0,LOSS,-1.0,7,-6.0,0.43,1.11,2026-07-24,1208.37,STOP_LOSS
KRISHNADEF,HIGHER_LOW_REVERSAL,2025-01-06,2025,VAL_2025,BULL,92.0,799.17,751.22,871.11,6.0,0.92,2.52,0.08,LOSS,-1.0,5,-6.0,0.63,1.51,2025-01-13,751.22,STOP_LOSS
KRISHNADEF,HIGHER_LOW_REVERSAL,2025-04-03,2025,VAL_2025,BULL,92.0,768.3,722.2,837.44,6.0,0.87,2.56,0.13,LOSS,-1.0,1,-6.0,0.0,1.27,2025-04-04,722.2,STOP_LOSS
