scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,naive_baseline_fired,data_source_flags,gate_oversold,gate_hammer_candle,gate_vol_surge
REVERSAL,KIRLOSBROS,2019-05-10 15:30:00 IST,BEAR,2019-05-10 09:15:00 IST,156.15,148.12,168.19,172.21,176.22,180.24,2019-05-13 15:30:00 IST,148.12,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KNRCON,2025-11-11 15:30:00 IST,BEAR,2025-11-11 09:15:00 IST,177.59,171.51,186.72,189.76,192.8,195.84,2025-11-13 15:30:00 IST,171.51,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KOTAKBANK,2024-02-29 15:30:00 IST,BEAR,2024-02-29 09:15:00 IST,337.9,327.79,353.06,358.12,363.18,368.23,2024-03-12 15:30:00 IST,344.1,TIME_EXPIRY,0.6133,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KPITTECH,2019-07-12 15:30:00 IST,BEAR,2019-07-12 09:15:00 IST,89.0,82.93,98.11,101.14,104.18,107.21,2019-07-19 15:30:00 IST,82.93,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KPRMILL,2020-02-26 15:30:00 IST,BEAR,2020-02-26 09:15:00 IST,123.35,117.12,132.69,135.81,138.92,142.04,2020-02-28 15:30:00 IST,117.12,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KPRMILL,2022-05-11 15:30:00 IST,BEAR,2022-05-11 09:15:00 IST,584.4,540.64,650.04,671.92,693.8,715.68,2022-05-12 15:30:00 IST,540.64,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KRSNAA,2023-01-19 15:30:00 IST,BEAR,2023-01-19 09:15:00 IST,419.5,403.65,443.27,451.2,459.12,467.04,2023-01-31 15:30:00 IST,424.2,TIME_EXPIRY,0.2966,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KSCL,2025-10-31 15:30:00 IST,BEAR,2025-10-31 09:15:00 IST,1039.8,1003.9,1093.65,1111.6,1129.56,1147.51,2025-11-05 15:30:00 IST,1003.9,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KSL,2023-12-21 15:30:00 IST,BEAR,2023-12-21 09:15:00 IST,432.7,412.68,462.73,472.73,482.74,492.75,2023-12-25 15:30:00 IST,472.73,TARGET,2.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KSL,2024-08-19 15:30:00 IST,BEAR,2024-08-19 09:15:00 IST,767.05,714.8,845.42,871.55,897.67,923.8,2024-08-29 15:30:00 IST,775.9,TIME_EXPIRY,0.1694,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KSL,2026-03-12 15:30:00 IST,BEAR,2026-03-12 09:15:00 IST,699.45,663.45,753.44,771.44,789.44,807.44,2026-03-13 15:30:00 IST,663.45,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KTKBANK,2019-10-18 15:30:00 IST,BEAR,2019-10-18 09:15:00 IST,62.75,59.39,67.8,69.48,71.16,72.84,2019-10-29 15:30:00 IST,69.48,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,LAOPALA,2022-05-02 15:30:00 IST,BEAR,2022-05-02 09:15:00 IST,304.05,278.44,342.47,355.28,368.08,380.89,2022-05-09 15:30:00 IST,278.44,STOP_LOSS,-1.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,LEMONTREE,2025-06-20 15:30:00 IST,BEAR,2025-06-20 09:15:00 IST,133.77,128.82,141.2,143.68,146.16,148.63,2025-07-02 15:30:00 IST,138.42,TIME_EXPIRY,0.9385,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,LICHSGFIN,2017-10-26 15:30:00 IST,BEAR,2017-10-26 09:15:00 IST,606.75,582.2,643.58,655.86,668.14,680.42,2017-11-07 15:30:00 IST,593.05,TIME_EXPIRY,-0.5579,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,LICI,2023-11-16 15:30:00 IST,BEAR,2023-11-16 09:15:00 IST,304.65,298.41,314.0,317.12,320.24,323.36,2023-11-24 15:30:00 IST,317.12,TARGET,2.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,LODHA,2024-10-04 15:30:00 IST,BEAR,2024-10-04 09:15:00 IST,1173.25,1089.8,1298.42,1340.14,1381.86,1423.58,2024-10-16 15:30:00 IST,1223.1,TIME_EXPIRY,0.5974,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,LT,2018-06-28 15:30:00 IST,BEAR,2018-06-28 09:15:00 IST,1234.95,1196.57,1292.52,1311.71,1330.9,1350.09,2018-07-10 15:30:00 IST,1284.6,TIME_EXPIRY,1.2936,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,LUPIN,2017-02-01 15:30:00 IST,BEAR,2017-02-01 09:15:00 IST,1474.1,1428.81,1542.04,1564.68,1587.33,1609.98,2017-02-06 15:30:00 IST,1564.68,TARGET,2.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
