symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_pattern_type,gate_clv_floor,gate_rvol_floor,gate_upper_wick,gate_risk_pct,naive_baseline_fired,data_source_flags
ABFRL,2026-06-24 15:30:00 IST,SIDEWAYS,2026-06-24 09:15:00 IST,61.6,57.9,67.15,69.0,70.85,72.7,2026-06-29 15:30:00 IST,57.9,STOP_LOSS,-1.0,4,94.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.01,True,NONE
ABFRL,2026-08-03 15:30:00 IST,SIDEWAYS,2026-08-03 09:15:00 IST,62.41,58.67,68.02,69.89,71.76,73.63,2026-08-09 15:30:00 IST,58.67,STOP_LOSS,-1.0,5,90.0,WYCKOFF_SPRING_TYPE_2,True,True,True,5.99,True,NONE
ABLBL,2026-03-10 15:30:00 IST,BEAR,2026-03-10 09:15:00 IST,103.46,97.25,112.78,115.88,118.98,122.09,2026-03-12 15:30:00 IST,97.25,STOP_LOSS,-1.0,3,95.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ABLBL,2026-05-05 15:30:00 IST,BULL,2026-05-05 09:15:00 IST,104.24,97.98,113.62,116.76,119.89,123.02,2026-05-06 15:30:00 IST,113.62,TARGET_1,1.5,2,95.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ABLBL,2026-07-13 15:30:00 IST,SIDEWAYS,2026-07-13 09:15:00 IST,98.72,92.79,107.6,110.58,113.54,116.51,2026-07-22 15:30:00 IST,92.79,STOP_LOSS,-1.0,8,92.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ABLBL,2026-08-03 15:30:00 IST,SIDEWAYS,2026-08-03 09:15:00 IST,95.4,90.96,102.07,104.28,106.5,108.72,2026-08-11 15:30:00 IST,90.96,STOP_LOSS,-1.0,7,90.0,WYCKOFF_SPRING_TYPE_2,True,True,True,4.66,True,NONE
ABSLAMC,2025-12-30 15:30:00 IST,BULL,2025-12-30 09:15:00 IST,808.49,759.98,881.26,905.51,929.76,954.02,2026-01-11 15:30:00 IST,759.98,STOP_LOSS,-1.0,9,89.0,HIGHER_LOW_REVERSAL,True,True,True,6.0,True,NONE
ABSLAMC,2026-02-02 15:30:00 IST,SIDEWAYS,2026-02-02 09:15:00 IST,757.66,717.91,817.29,837.16,857.03,876.91,2026-02-09 15:30:00 IST,817.29,TARGET_1,1.5,6,92.0,SHAKEOUT_RECLAIM,True,True,True,5.25,True,NONE
ABSLAMC,2026-02-18 15:30:00 IST,BULL,2026-02-18 09:15:00 IST,884.68,831.6,964.3,990.84,1017.38,1043.92,2026-03-03 15:30:00 IST,831.6,STOP_LOSS,-1.0,9,87.0,BULL_FLAG,True,True,True,6.0,True,NONE
ABSLAMC,2026-04-15 15:30:00 IST,BULL,2026-04-15 09:15:00 IST,1022.14,960.81,1114.13,1144.8,1175.47,1206.13,2026-05-12 15:30:00 IST,1008.53,TIMEOUT_20D,-0.22,20,78.0,V_REVERSAL,True,True,True,6.0,True,NONE
