symbol,count,mean_R,win_rate
BAJAJCON,34,0.5913,0.382
UNIONBANK,34,0.0513,0.294
CLSEL,34,0.4602,0.382
MANINFRA,34,0.328,0.353
AXISBANK,34,0.1132,0.382
ASALCBR,34,0.4951,0.382
ARTEMISMED,34,0.4118,0.353
HAVELLS,34,0.2805,0.382
BEL,34,0.7085,0.471
BHARATFORG,34,0.541,0.441
APOLLOTYRE,34,0.3725,0.412
MPHASIS,34,0.7334,0.5
BANARISUG,34,0.2859,0.353
DRREDDY,33,-0.0332,0.394
SANDHAR,33,0.1923,0.303
PIDILITIND,33,0.4109,0.545
BPCL,33,0.1514,0.333
NAVNETEDUL,33,-0.2914,0.242
PIIND,33,0.5375,0.455
JKCEMENT,33,0.6692,0.545
CGCL,33,0.4499,0.424
VSTIND,33,-0.0753,0.303
GRWRHITECH,33,0.697,0.424
TECHM,33,0.3873,0.424
RELIANCE,33,0.386,0.455
CONCOR,32,-0.0001,0.281
SUNDRMFAST,32,0.5006,0.438
UBL,32,0.2504,0.406
ERIS,32,0.2882,0.375
VGUARD,32,0.0281,0.344
TIMETECHNO,32,0.4358,0.375
SUNTV,32,-0.0759,0.281
SWARAJENG,32,0.1337,0.375
ICICIPRULI,32,-0.0784,0.25
CHOLAHLDNG,32,0.1809,0.344
NESTLEIND,32,0.4921,0.5
RELAXO,32,0.6558,0.5
DOLLAR,32,0.3116,0.344
CIPLA,32,0.1253,0.406
IRCON,32,0.5,0.375
TARIL,32,0.5546,0.406
3MINDIA,32,0.3124,0.406
MAXHEALTH,32,0.544,0.438
CUB,32,0.2207,0.375
M&M,32,0.6642,0.5
ICICIBANK,32,0.4265,0.531
MARICO,32,0.0204,0.406
ORIENTELEC,32,-0.0101,0.281
COALINDIA,32,0.4896,0.438
STARCEMENT,32,0.2642,0.344
PAGEIND,31,0.3173,0.387
HEIDELBERG,31,0.0105,0.355
APLLTD,31,0.0301,0.29
SOMANYCERA,31,0.5038,0.387
BRITANNIA,31,0.2908,0.484
MRF,31,0.2424,0.452
BAJAJFINSV,31,0.4466,0.419
RAILTEL,31,0.4194,0.355
CARTRADE,31,0.5484,0.387
LEMONTREE,31,0.0801,0.323
LICHSGFIN,31,-0.1233,0.258
MOTHERSON,31,0.4034,0.419
BATAINDIA,31,0.2302,0.387
ASIANPAINT,31,0.0669,0.387
TATASTEEL,30,0.4413,0.433
GODREJCP,30,0.0991,0.367
ZFCVINDIA,30,0.2683,0.4
ICRA,30,0.1649,0.367
HCLTECH,30,0.5233,0.5
TTKPRESTIG,30,0.1668,0.333
SUNPHARMA,30,0.4833,0.467
LALPATHLAB,30,0.5896,0.467
CSBBANK,30,0.1429,0.3
BERGEPAINT,30,0.1237,0.433
AMBUJACEM,30,0.0728,0.333
EICHERMOT,30,0.3393,0.5
VIJAYA,30,0.1163,0.3
ULTRACEMCO,30,0.1904,0.433
POLYCAB,30,0.9603,0.533
GLENMARK,30,0.6332,0.467
SPECTRUM,30,0.3333,0.333
RAMRAT,29,0.3793,0.345
SHAREINDIA,29,0.3194,0.345
RAMCOCEM,29,0.282,0.448
TATACOMM,29,0.4996,0.414
ZYDUSLIFE,29,0.6427,0.483
LT,29,0.4296,0.552
FINPIPE,29,0.4764,0.448
METROPOLIS,29,0.4543,0.379
ACC,29,-0.0814,0.276
BLUEDART,29,0.0044,0.276
KOTAKBANK,29,0.0351,0.414
NATCOPHARM,29,0.3321,0.345
HDFCBANK,29,0.1104,0.448
BOSCHLTD,29,0.3016,0.414
GMRP&UI,29,-0.1724,0.207
AUROPHARMA,29,0.5926,0.483
IOC,28,0.2873,0.429
KALYANKJIL,28,0.9345,0.5
HDFCAMC,28,0.4547,0.429
ICICIGI,28,0.1038,0.321
CARYSIL,28,0.0,0.25
FMGOETZE,28,-0.1284,0.25
POWERGRID,28,0.1383,0.464
ROUTE,28,0.1555,0.321
J&KBANK,28,0.3423,0.393
JSWDULUX,28,0.0356,0.357
INDIAMART,27,0.4015,0.37
CASTROLIND,27,-0.1287,0.259
