symbol,count,mean_R,win_rate
EMCURE,4,1.8065,0.75
UDS,4,0.0,0.25
SAILIFE,4,1.0,0.5
DIFFNKG,4,0.0,0.25
SANOFICONR,4,-1.0,0.0
PNGJL,4,-0.7932,0.0
DANISH,3,-1.0,0.0
INDGN,3,-1.0,0.0
CEIGALL,3,1.6667,0.667
PLATIND,3,-1.0,0.0
CAPITALSFB,3,-0.5716,0.0
VMM,3,-1.0,0.0
PREMIERENE,3,-0.3478,0.333
DDEVPLSTIK,3,-1.0,0.0
JUBLCPL,3,-1.0,0.0
SENORES,3,2.3477,1.0
BANSALWIRE,3,-1.0,0.0
IKS,3,-1.0,0.0
MONOLITH,2,1.0,0.5
GALAPREC,2,1.0,0.5
BOROSCI,2,-1.0,0.0
TRANSRAILL,2,-1.0,0.0
GODIGIT,2,-0.0768,0.5
GUJTHEM,2,-1.0,0.0
SURAKSHA,2,-1.0,0.0
TATATECH,2,-1.0,0.0
SETL,2,-1.0,0.0
CELLO,2,-1.0,0.0
BLACKBUCK,2,-1.0,0.0
AWFIS,2,-1.0,0.0
JNKINDIA,2,1.0,0.5
BELRISE,2,1.8087,1.0
TRAVELFOOD,1,-1.0,0.0
ANTHEM,1,-1.0,0.0
VENTIVE,1,-0.452,0.0
ARIS,1,-1.0,0.0
EIEL,1,-1.0,0.0
HEXT,1,-1.0,0.0
UNIMECH,1,-1.0,0.0
PICCADIL,1,-1.0,0.0
THELEELA,1,2.632,1.0
TINNARUBR,1,-1.0,0.0
KPEL,1,-1.0,0.0
WAAREERTL,1,-1.0,0.0
SAMBHV,1,-1.0,0.0
AKUMS,1,3.0,1.0
