entry_timestamp,r_multiple,cum_r
2022-08-08 09:15:00 IST,3.0,3875.6589999999965
2022-09-08 09:15:00 IST,-1.0,3874.6589999999965
2022-10-07 09:15:00 IST,-1.0,3873.6589999999965
2022-11-07 09:15:00 IST,-1.0,3872.6589999999965
2022-12-06 09:15:00 IST,-1.0,3871.6589999999965
2023-01-03 09:15:00 IST,-1.0,3870.6589999999965
2023-02-01 09:15:00 IST,3.0,3873.6589999999965
2023-03-01 09:15:00 IST,-1.0,3872.6589999999965
2023-03-31 09:15:00 IST,3.0,3875.6589999999965
2023-05-04 09:15:00 IST,3.0,3878.6589999999965
2023-06-01 09:15:00 IST,3.0,3881.6589999999965
2023-06-30 09:15:00 IST,3.0,3884.6589999999965
2023-07-28 09:15:00 IST,3.0,3887.6589999999965
2023-08-28 09:15:00 IST,3.0,3890.6589999999965
2023-09-26 09:15:00 IST,3.0,3893.6589999999965
2023-10-26 09:15:00 IST,-1.0,3892.6589999999965
2023-11-23 09:15:00 IST,-1.0,3891.6589999999965
2023-12-22 09:15:00 IST,-1.0,3890.6589999999965
2024-01-20 09:15:00 IST,-1.0,3889.6589999999965
2024-06-19 09:15:00 IST,-1.0,3888.6589999999965
2024-07-18 09:15:00 IST,3.0,3891.6589999999965
2024-08-16 09:15:00 IST,-1.0,3890.6589999999965
2024-09-13 09:15:00 IST,3.0,3893.6589999999965
2024-10-14 09:15:00 IST,-1.0,3892.6589999999965
2024-11-11 09:15:00 IST,-1.0,3891.6589999999965
2024-12-11 09:15:00 IST,-1.0,3890.6589999999965
2025-01-09 09:15:00 IST,-1.0,3889.6589999999965
2025-04-07 09:15:00 IST,3.0,3892.6589999999965
2025-05-09 09:15:00 IST,-1.0,3891.6589999999965
2025-06-06 09:15:00 IST,-1.0,3890.6589999999965
2025-12-29 09:15:00 IST,-1.0,3889.6589999999965
2026-02-24 09:15:00 IST,-1.0,3888.6589999999965
2026-04-28 09:15:00 IST,-1.0,3887.6589999999965
2017-07-19 09:15:00 IST,-1.0,3886.6589999999965
2017-08-17 09:15:00 IST,-1.0,3885.6589999999965
2017-09-15 09:15:00 IST,-1.0,3884.6589999999965
2017-10-16 09:15:00 IST,3.0,3887.6589999999965
2017-11-15 09:15:00 IST,-1.0,3886.6589999999965
2017-12-13 09:15:00 IST,-1.0,3885.6589999999965
2018-01-11 09:15:00 IST,-1.0,3884.6589999999965
2018-02-09 09:15:00 IST,-1.0,3883.6589999999965
2018-03-13 09:15:00 IST,-1.0,3882.6589999999965
2018-05-11 09:15:00 IST,-1.0,3881.6589999999965
2018-08-03 09:15:00 IST,2.3422,3884.0011999999965
2018-09-04 09:15:00 IST,-1.0,3883.0011999999965
2018-10-05 09:15:00 IST,3.0,3886.0011999999965
2018-11-05 09:15:00 IST,1.7303,3887.7314999999967
2018-12-06 09:15:00 IST,2.134,3889.8654999999967
2019-01-04 09:15:00 IST,1.4547,3891.3201999999965
2019-02-01 09:15:00 IST,2.3791,3893.6992999999966
2019-03-01 09:15:00 IST,3.0,3896.6992999999966
2019-04-02 09:15:00 IST,0.6342,3897.3334999999965
2019-05-06 09:15:00 IST,0.338,3897.6714999999967
2019-06-03 09:15:00 IST,-1.0,3896.6714999999967
2019-07-02 09:15:00 IST,-1.0,3895.6714999999967
2019-07-30 09:15:00 IST,-1.0,3894.6714999999967
2019-08-29 09:15:00 IST,3.0,3897.6714999999967
2019-09-30 09:15:00 IST,3.0,3900.6714999999967
2019-10-31 09:15:00 IST,-0.1431,3900.528399999997
2019-11-29 09:15:00 IST,-1.0,3899.528399999997
2019-12-30 09:15:00 IST,-1.0,3898.528399999997
2020-01-27 09:15:00 IST,-1.0,3897.528399999997
2020-02-24 09:15:00 IST,-1.0,3896.528399999997
2020-11-12 09:15:00 IST,3.0,3899.528399999997
2020-12-11 09:15:00 IST,3.0,3902.528399999997
2021-01-11 09:15:00 IST,3.0,3905.528399999997
2021-02-09 09:15:00 IST,-1.0,3904.528399999997
2021-03-09 09:15:00 IST,-1.0,3903.528399999997
2021-04-09 09:15:00 IST,3.0,3906.528399999997
2021-05-11 09:15:00 IST,2.0528,3908.581199999997
2021-06-09 09:15:00 IST,2.1881,3910.7692999999967
2021-07-07 09:15:00 IST,3.0,3913.7692999999967
2021-08-05 09:15:00 IST,0.6887,3914.457999999997
2021-09-03 09:15:00 IST,1.7327,3916.190699999997
2021-10-04 09:15:00 IST,1.6174,3917.808099999997
2021-11-02 09:15:00 IST,-1.0,3916.808099999997
2021-12-02 09:15:00 IST,-1.0,3915.808099999997
2021-12-30 09:15:00 IST,-1.0,3914.808099999997
2022-01-28 09:15:00 IST,-1.0,3913.808099999997
2022-02-25 09:15:00 IST,-1.0,3912.808099999997
2022-04-28 09:15:00 IST,-1.0,3911.808099999997
2022-07-22 09:15:00 IST,2.0866,3913.894699999997
2022-08-23 09:15:00 IST,0.5578,3914.452499999997
2022-09-21 09:15:00 IST,-1.0,3913.452499999997
2022-10-20 09:15:00 IST,-1.0,3912.452499999997
2022-11-21 09:15:00 IST,-1.0,3911.452499999997
2022-12-19 09:15:00 IST,-1.0,3910.452499999997
2023-01-16 09:15:00 IST,-1.0,3909.452499999997
2023-02-14 09:15:00 IST,1.0423,3910.494799999997
2023-04-18 09:15:00 IST,1.0251,3911.519899999997
2023-05-17 09:15:00 IST,0.2262,3911.746099999997
2023-06-14 09:15:00 IST,-0.3152,3911.430899999997
2023-07-13 09:15:00 IST,-0.431,3910.999899999997
2023-08-10 09:15:00 IST,0.5225,3911.522399999997
2023-09-08 09:15:00 IST,0.369,3911.8913999999972
2023-10-10 09:15:00 IST,1.2162,3913.107599999997
2023-11-08 09:15:00 IST,1.943,3915.0505999999973
2023-12-07 09:15:00 IST,0.854,3915.904599999997
2024-01-05 09:15:00 IST,1.724,3917.6285999999973
2024-02-05 09:15:00 IST,1.2134,3918.8419999999974
2024-03-02 09:15:00 IST,1.7892,3920.6311999999975
2024-04-03 09:15:00 IST,0.98,3921.6111999999976
2024-05-06 09:15:00 IST,-1.0,3920.6111999999976
2024-06-03 09:15:00 IST,-1.0,3919.6111999999976
2024-07-02 09:15:00 IST,0.7166,3920.3277999999978
2024-07-31 09:15:00 IST,1.1889,3921.516699999998
2024-08-29 09:15:00 IST,0.4281,3921.944799999998
2024-09-26 09:15:00 IST,-1.0,3920.944799999998
2024-10-25 09:15:00 IST,-0.3958,3920.548999999998
2024-11-26 09:15:00 IST,-1.0,3919.548999999998
2024-12-24 09:15:00 IST,-1.0,3918.548999999998
2025-02-18 09:15:00 IST,1.8387,3920.387699999998
2025-03-20 09:15:00 IST,1.5104,3921.898099999998
2025-04-23 09:15:00 IST,-0.1176,3921.780499999998
2025-05-22 09:15:00 IST,-0.8148,3920.965699999998
2025-06-19 09:15:00 IST,-0.3623,3920.603399999998
2025-07-17 09:15:00 IST,-0.2335,3920.3698999999983
2025-08-14 09:15:00 IST,-0.6735,3919.6963999999984
2025-09-15 09:15:00 IST,-0.5108,3919.1855999999984
2025-10-14 09:15:00 IST,0.1382,3919.3237999999983
2025-11-13 09:15:00 IST,-1.0,3918.3237999999983
2026-01-09 09:15:00 IST,-1.0,3917.3237999999983
2018-08-16 09:15:00 IST,-1.0,3916.3237999999983
2018-09-17 09:15:00 IST,-1.0,3915.3237999999983
2018-10-17 09:15:00 IST,1.8296,3917.1533999999983
2018-11-19 09:15:00 IST,3.0,3920.1533999999983
2018-12-18 09:15:00 IST,-1.0,3919.1533999999983
2019-01-16 09:15:00 IST,3.0,3922.1533999999983
2019-02-13 09:15:00 IST,3.0,3925.1533999999983
2019-03-14 09:15:00 IST,3.0,3928.1533999999983
2019-04-12 09:15:00 IST,1.35,3929.5033999999982
2019-05-16 09:15:00 IST,1.1568,3930.6601999999984
2019-06-14 09:15:00 IST,-1.0,3929.6601999999984
2019-07-12 09:15:00 IST,3.0,3932.6601999999984
2019-08-09 09:15:00 IST,3.0,3935.6601999999984
2019-09-12 09:15:00 IST,3.0,3938.6601999999984
2019-10-14 09:15:00 IST,1.1511,3939.8112999999985
2019-11-13 09:15:00 IST,-1.0,3938.8112999999985
2019-12-11 09:15:00 IST,-1.0,3937.8112999999985
2020-01-09 09:15:00 IST,-1.0,3936.8112999999985
2020-02-05 09:15:00 IST,-1.0,3935.8112999999985
2020-03-05 09:15:00 IST,-1.0,3934.8112999999985
2020-06-08 09:15:00 IST,-0.8461,3933.9651999999983
2020-07-06 09:15:00 IST,-0.1729,3933.7922999999982
2020-08-03 09:15:00 IST,-1.0,3932.7922999999982
2020-11-24 09:15:00 IST,0.7037,3933.4959999999983
2020-12-23 09:15:00 IST,-1.0,3932.4959999999983
2021-01-21 09:15:00 IST,-1.0,3931.4959999999983
2021-02-19 09:15:00 IST,-1.0,3930.4959999999983
2021-03-22 09:15:00 IST,0.1276,3930.623599999998
2021-04-23 09:15:00 IST,2.2829,3932.9064999999982
2021-05-24 09:15:00 IST,0.8035,3933.709999999998
2021-06-21 09:15:00 IST,-0.3748,3933.335199999998
2021-07-19 09:15:00 IST,-0.4397,3932.8954999999983
2021-09-16 09:15:00 IST,-1.0,3931.8954999999983
2021-10-14 09:15:00 IST,-1.0,3930.8954999999983
2021-11-15 09:15:00 IST,-1.0,3929.8954999999983
2022-12-29 09:15:00 IST,-1.0,3928.8954999999983
2023-05-29 09:15:00 IST,1.3508,3930.2462999999984
2023-06-26 09:15:00 IST,0.9203,3931.1665999999987
2023-07-25 09:15:00 IST,0.8489,3932.0154999999986
2023-08-23 09:15:00 IST,0.5458,3932.5612999999985
2023-09-21 09:15:00 IST,1.4454,3934.0066999999985
