scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_20d_high,gate_vol_surge,gate_rsi_corridor,gate_candle_struct,gate_atr_tightness,gate_52w_prox,naive_baseline_fired,data_source_flags
EOD,FOSECOIND,2017-07-19 15:30:00 IST,BULL,2017-07-19 09:15:00 IST,1484.5,1429.69,1566.72,1594.12,1621.52,1648.93,2017-07-28 15:30:00 IST,1429.69,STOP_LOSS,-1.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FOSECOIND,2022-05-20 15:30:00 IST,BULL,2022-05-20 09:15:00 IST,1633.4,1523.67,1797.99,1852.86,1907.72,1962.59,2022-06-03 15:30:00 IST,1603.25,TIME_EXPIRY,-0.2748,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FOSECOIND,2023-02-28 15:30:00 IST,BULL,2023-02-28 09:15:00 IST,2242.15,2112.19,2437.1,2502.08,2567.06,2632.04,2023-03-14 15:30:00 IST,2502.08,TARGET,2.0,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FOSECOIND,2023-07-27 15:30:00 IST,BULL,2023-07-27 09:15:00 IST,2922.55,2787.64,3124.91,3192.36,3259.82,3327.27,2023-07-28 15:30:00 IST,3192.36,TARGET,2.0,1,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FOSECOIND,2024-07-24 15:30:00 IST,SIDEWAYS,2024-07-24 09:15:00 IST,4507.8,4236.87,4914.2,5049.67,5185.13,5320.6,2024-07-29 15:30:00 IST,5049.67,TARGET,2.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FOSECOIND,2025-08-22 15:30:00 IST,BULL,2025-08-22 09:15:00 IST,6469.0,5971.97,7214.55,7463.06,7711.58,7960.1,2025-09-01 15:30:00 IST,5971.97,STOP_LOSS,-1.0,6,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FSL,2025-08-07 15:30:00 IST,BULL,2025-08-07 09:15:00 IST,369.85,351.96,396.68,405.62,414.57,423.51,2025-08-21 15:30:00 IST,368.15,TIME_EXPIRY,-0.095,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GABRIEL,2021-05-19 15:30:00 IST,BULL,2021-05-19 09:15:00 IST,118.4,112.82,126.77,129.56,132.35,135.14,2021-05-25 15:30:00 IST,129.56,TARGET,2.0,4,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GABRIEL,2023-08-18 15:30:00 IST,BULL,2023-08-18 09:15:00 IST,248.1,234.4,268.65,275.5,282.36,289.21,2023-08-23 15:30:00 IST,275.5,TARGET,2.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GABRIEL,2025-03-12 15:30:00 IST,BULL,2025-03-12 09:15:00 IST,532.55,490.7,595.33,616.25,637.17,658.1,2025-03-26 15:30:00 IST,588.75,TIME_EXPIRY,1.3429,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GABRIEL,2025-09-01 15:30:00 IST,BULL,2025-09-01 09:15:00 IST,1229.4,1152.02,1345.48,1384.17,1422.86,1461.56,2025-09-15 15:30:00 IST,1302.4,TIME_EXPIRY,0.9433,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAEL,2023-07-20 15:30:00 IST,BULL,2023-07-20 09:15:00 IST,130.4,126.04,136.95,139.13,141.31,143.5,2023-08-03 15:30:00 IST,126.04,STOP_LOSS,-1.0,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAEL,2023-09-25 15:30:00 IST,BULL,2023-09-25 09:15:00 IST,169.2,157.04,187.44,193.52,199.59,205.67,2023-10-09 15:30:00 IST,183.35,TIME_EXPIRY,1.1639,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,GAEL,2026-07-30 15:30:00 IST,BULL,2026-07-30 09:15:00 IST,172.59,163.47,186.27,190.83,195.38,199.94,2026-08-13 15:30:00 IST,170.18,TIME_EXPIRY,-0.2643,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
